Stock ,Date ,series ,Open,High,Low,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,Volume,Value,No of trades 
RELIANCE,20-Feb-25,EQ,"1,223.95","1,239.35","1,222.00","1,227.45","1,232.00","1,233.00","1,233.94","3,217.60","1,193.35","77,95,582","9,61,92,77,166.50","1,62,561"
RELIANCE,19-Feb-25,EQ,"1,219.50","1,232.75","1,217.55","1,225.40","1,226.30","1,227.45","1,226.67","3,217.60","1,193.35","62,17,338","7,62,66,01,753.25","1,78,165"
RELIANCE,18-Feb-25,EQ,"1,224.85","1,229.90","1,216.10","1,224.90","1,223.95","1,225.40","1,223.94","3,217.60","1,193.35","66,73,250","8,16,76,61,853.95","1,81,273"
RELIANCE,17-Feb-25,EQ,"1,211.10","1,227.50","1,204.50","1,217.25","1,225.45","1,224.90","1,219.62","3,217.60","1,193.35","81,66,683","9,96,02,41,446.85","2,20,670"
RELIANCE,14-Feb-25,EQ,"1,219.00","1,224.00","1,205.45","1,216.10","1,214.75","1,217.25","1,215.10","3,217.60","1,193.35","1,02,98,145","12,51,32,77,266.75","2,02,314"
RELIANCE,13-Feb-25,EQ,"1,217.05","1,228.00","1,212.00","1,216.55","1,216.20","1,216.10","1,219.60","3,217.60","1,193.35","85,11,216","10,38,02,76,762.25","2,66,249"
RELIANCE,12-Feb-25,EQ,"1,219.45","1,226.90","1,193.35","1,234.85","1,217.05","1,216.55","1,211.39","3,217.60","1,193.35","2,11,31,654","25,59,86,19,531.25","4,04,276"
RELIANCE,11-Feb-25,EQ,"1,264.55","1,264.55","1,230.10","1,253.65","1,237.55","1,234.85","1,244.26","3,217.60","1,201.50","88,59,714","11,02,37,57,522.95","2,40,683"
RELIANCE,10-Feb-25,EQ,"1,264.50","1,266.50","1,245.55","1,266.70","1,254.65","1,253.65","1,251.52","3,217.60","1,201.50","69,70,972","8,72,42,86,360.55","1,73,316"
RELIANCE,07-Feb-25,EQ,"1,276.15","1,283.70","1,262.00","1,281.55","1,266.50","1,266.70","1,270.98","3,217.60","1,201.50","87,64,283","11,13,92,40,963.05","1,74,531"
RELIANCE,06-Feb-25,EQ,"1,273.70","1,288.00","1,270.35","1,278.20","1,283.00","1,281.55","1,279.27","3,217.60","1,201.50","99,56,001","12,73,63,85,821.45","2,17,888"
RELIANCE,05-Feb-25,EQ,"1,282.65","1,290.50","1,276.70","1,285.20","1,278.50","1,278.20","1,281.97","3,217.60","1,201.50","1,01,12,028","12,96,33,36,513.05","2,19,550"
RELIANCE,04-Feb-25,EQ,"1,248.05","1,288.80","1,246.60","1,245.90","1,282.90","1,285.20","1,273.65","3,217.60","1,201.50","1,66,91,069","21,25,84,96,964.75","3,23,415"
RELIANCE,03-Feb-25,EQ,"1,251.00","1,256.00","1,237.55","1,264.60","1,247.00","1,245.90","1,247.14","3,217.60","1,201.50","92,52,345","11,53,89,63,041.00","2,68,425"
RELIANCE,01-Feb-25,EQ,"1,265.10","1,270.55","1,241.00","1,265.10","1,264.00","1,264.60","1,260.42","3,217.60","1,201.50","71,18,453","8,97,22,48,877.35","1,43,258"
RELIANCE,31-Jan-25,EQ,"1,255.85","1,267.00","1,249.00","1,253.05","1,266.00","1,265.10","1,261.32","3,217.60","1,201.50","65,84,612","8,30,52,91,978.45","1,69,481"
RELIANCE,30-Jan-25,EQ,"1,235.55","1,257.00","1,232.40","1,235.50","1,253.15","1,253.05","1,249.15","3,217.60","1,201.50","92,69,259","11,57,86,93,152.95","2,27,871"
RELIANCE,29-Jan-25,EQ,"1,236.00","1,242.75","1,228.05","1,234.40","1,237.25","1,235.50","1,236.66","3,217.60","1,201.50","59,28,156","7,33,11,19,895.80","1,67,073"
RELIANCE,28-Jan-25,EQ,"1,238.00","1,244.75","1,218.50","1,229.35","1,235.00","1,234.40","1,232.65","3,217.60","1,201.50","1,05,68,025","13,02,66,73,067.35","2,86,863"
RELIANCE,27-Jan-25,EQ,"1,239.10","1,240.45","1,220.00","1,246.30","1,229.00","1,229.35","1,229.35","3,217.60","1,201.50","95,36,019","11,72,31,27,883.65","3,68,025"
RELIANCE,24-Jan-25,EQ,"1,266.00","1,273.00","1,243.50","1,263.65","1,244.45","1,246.30","1,252.27","3,217.60","1,201.50","1,42,35,970","17,82,72,72,395.00","2,63,461"
RELIANCE,23-Jan-25,EQ,"1,270.00","1,277.35","1,261.60","1,277.10","1,264.90","1,263.65","1,267.52","3,217.60","1,201.50","87,20,682","11,05,36,24,692.80","1,88,421"
RELIANCE,22-Jan-25,EQ,"1,278.30","1,282.90","1,268.70","1,273.70","1,278.00","1,277.10","1,276.09","3,217.60","1,201.50","1,02,73,590","13,11,00,04,094.65","2,39,816"
RELIANCE,21-Jan-25,EQ,"1,310.50","1,313.00","1,270.20","1,305.45","1,277.60","1,273.70","1,284.79","3,217.60","1,201.50","1,45,62,976","18,71,03,66,859.10","3,25,783"
RELIANCE,20-Jan-25,EQ,"1,316.00","1,316.00","1,300.25","1,302.35","1,304.00","1,305.45","1,307.82","3,217.60","1,201.50","1,40,40,244","18,36,20,47,246.70","2,80,553"
RELIANCE,17-Jan-25,EQ,"1,322.25","1,326.00","1,285.00","1,266.45","1,300.00","1,302.35","1,300.80","3,217.60","1,201.50","2,93,66,277","38,19,97,28,794.40","5,94,018"
RELIANCE,16-Jan-25,EQ,"1,258.90","1,275.00","1,251.30","1,252.20","1,275.00","1,266.45","1,262.86","3,217.60","1,201.50","1,41,17,603","17,82,84,86,685.90","2,07,451"
RELIANCE,15-Jan-25,EQ,"1,244.95","1,257.00","1,241.85","1,238.75","1,252.00","1,252.20","1,250.11","3,217.60","1,201.50","95,78,856","11,97,46,00,753.05","2,20,174"
RELIANCE,14-Jan-25,EQ,"1,244.10","1,253.35","1,227.25","1,239.85","1,239.00","1,238.75","1,236.46","3,217.60","1,201.50","1,30,95,266","16,19,17,65,836.20","2,78,977"
RELIANCE,13-Jan-25,EQ,"1,230.00","1,245.25","1,226.40","1,241.90","1,240.75","1,239.85","1,238.10","3,217.60","1,201.50","1,37,64,861","17,04,22,74,859.85","3,98,257"
RELIANCE,10-Jan-25,EQ,"1,253.85","1,256.75","1,236.00","1,254.75","1,245.55","1,241.90","1,245.97","3,217.60","1,201.50","81,20,332","10,11,76,85,547.70","3,40,024"
RELIANCE,09-Jan-25,EQ,"1,267.00","1,269.75","1,248.05","1,265.50","1,256.80","1,254.75","1,257.46","3,217.60","1,201.50","1,27,94,704","16,08,88,82,554.20","3,90,501"
RELIANCE,08-Jan-25,EQ,"1,249.00","1,271.05","1,245.35","1,240.85","1,261.35","1,265.50","1,263.24","3,217.60","1,201.50","1,93,46,579","24,43,93,45,120.55","5,31,488"
RELIANCE,07-Jan-25,EQ,"1,222.00","1,244.50","1,221.25","1,218.00","1,239.95","1,240.85","1,237.63","3,217.60","1,201.50","1,00,70,505","12,46,35,97,633.45","2,16,620"
RELIANCE,06-Jan-25,EQ,"1,253.95","1,262.00","1,215.00","1,251.15","1,216.25","1,218.00","1,235.67","3,217.60","1,201.50","1,48,16,766","18,30,86,52,263.95","3,17,843"
RELIANCE,03-Jan-25,EQ,"1,243.90","1,262.05","1,235.50","1,241.80","1,249.85","1,251.15","1,250.34","3,217.60","1,201.50","1,55,21,102","19,40,67,15,598.75","2,77,290"
RELIANCE,02-Jan-25,EQ,"1,221.25","1,244.45","1,220.00","1,221.25","1,240.55","1,241.80","1,234.32","3,217.60","1,201.50","1,54,86,276","19,11,50,27,208.35","2,71,108"
RELIANCE,01-Jan-25,EQ,"1,214.85","1,226.30","1,211.60","1,215.45","1,222.75","1,221.25","1,221.01","3,217.60","1,201.50","58,92,590","7,19,48,99,836.45","1,38,528"
RELIANCE,31-Dec-24,EQ,"1,208.00","1,219.10","1,206.15","1,210.70","1,216.40","1,215.45","1,213.08","3,217.60","1,201.50","64,05,475","7,77,03,38,353.90","1,80,916"
RELIANCE,30-Dec-24,EQ,"1,216.40","1,223.20","1,208.10","1,221.05","1,211.50","1,210.70","1,214.71","3,217.60","1,201.50","88,18,766","10,71,22,29,377.50","3,08,317"
RELIANCE,27-Dec-24,EQ,"1,218.30","1,227.90","1,217.00","1,216.55","1,221.50","1,221.05","1,223.20","3,217.60","1,201.50","70,00,397","8,56,28,95,530.20","1,74,882"
RELIANCE,26-Dec-24,EQ,"1,224.25","1,227.70","1,214.25","1,222.75","1,217.00","1,216.55","1,219.74","3,217.60","1,201.50","1,00,16,178","12,21,71,76,986.80","2,56,436"
RELIANCE,24-Dec-24,EQ,"1,222.30","1,233.55","1,221.00","1,222.30","1,224.20","1,222.75","1,227.14","3,217.60","1,201.50","67,34,917","8,26,46,75,853.25","2,07,746"
RELIANCE,23-Dec-24,EQ,"1,215.00","1,227.20","1,213.20","1,205.30","1,223.85","1,222.30","1,219.77","3,217.60","1,201.50","1,00,52,824","12,26,20,91,651.05","2,58,756"
RELIANCE,20-Dec-24,EQ,"1,224.00","1,239.50","1,201.50","1,230.45","1,206.00","1,205.30","1,215.95","3,217.60","1,201.50","2,03,12,896","24,69,94,97,247.50","4,99,900"
